Squad,# Pl,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Année édition
Bayern Munich,2,10,10,900,10.0,7,0.70,25,18,72.0,7,2,1,4,40.0,0,0,0,0,,2022
Benfica,1,10,10,900,10.0,17,1.70,52,35,67.3,3,4,3,5,50.0,1,0,1,0,100.0,2022
Beşiktaş,2,6,6,540,6.0,19,3.17,43,24,62.8,0,0,6,0,0.0,3,3,0,0,0.0,2022
Chelsea,2,10,10,930,10.3,10,0.97,23,13,60.9,7,1,2,5,50.0,1,1,0,0,0.0,2022
Club Brugge,1,6,6,540,6.0,20,3.33,47,27,63.8,1,1,4,0,0.0,3,3,0,0,0.0,2022
Dortmund,1,6,6,540,6.0,11,1.83,23,12,52.2,3,0,3,2,33.3,1,0,1,0,100.0,2022
Dynamo Kyiv,2,6,6,540,6.0,11,1.83,28,17,64.3,0,1,5,1,16.7,1,1,0,0,0.0,2022
Inter,1,8,8,720,8.0,7,0.87,19,12,63.2,4,1,3,3,37.5,0,0,0,0,,2022
Juventus,2,8,8,720,8.0,10,1.25,24,15,66.7,5,1,2,4,50.0,2,2,0,0,0.0,2022
Lille,2,8,8,720,8.0,8,1.00,24,16,75.0,3,2,3,3,37.5,2,2,0,0,0.0,2022
Liverpool,1,13,13,"1,170",13.0,14,1.08,28,14,50.0,10,1,2,4,30.8,0,0,0,0,,2022
Malmö,2,6,6,540,6.0,14,2.33,44,29,77.3,0,1,5,0,0.0,5,4,1,0,20.0,2022
Manchester City,3,12,12,"1,110",12.3,16,1.30,34,19,58.8,7,2,3,4,33.3,2,2,0,0,0.0,2022
Manchester Utd,3,8,8,720,8.0,10,1.25,33,23,69.7,3,3,2,1,12.5,0,0,0,0,,2022
Milan,2,6,6,540,6.0,9,1.50,29,20,72.4,1,1,4,1,16.7,2,1,1,0,50.0,2022
Paris S-G,2,8,8,720,8.0,11,1.37,41,29,75.6,4,2,2,2,25.0,2,1,1,0,50.0,2022
Porto,1,6,6,540,6.0,11,1.83,28,18,60.7,1,2,3,2,33.3,0,0,0,0,,2022
RB Leipzig,2,6,6,540,6.0,14,2.33,27,14,55.6,2,1,3,1,16.7,3,2,0,1,0.0,2022
RB Salzburg,1,8,8,720,8.0,14,1.75,30,16,63.3,3,2,3,1,12.5,3,3,0,0,0.0,2022
Real Madrid,1,13,13,"1,230",13.7,14,1.02,72,57,80.6,9,0,4,5,38.5,1,0,1,0,100.0,2022
Sevilla,1,6,6,540,6.0,5,0.83,19,14,84.2,1,3,2,2,33.3,4,2,0,2,0.0,2022
Shakhtar,3,6,6,540,6.0,12,2.00,35,24,65.7,0,2,4,1,16.7,0,0,0,0,,2022
Sheriff Tiraspol,2,6,6,540,6.0,11,1.83,43,32,76.7,2,1,3,1,16.7,1,1,0,0,0.0,2022
Sporting CP,2,8,8,720,8.0,17,2.12,36,19,55.6,3,1,4,2,25.0,1,1,0,0,0.0,2022
Villarreal,1,12,12,"1,080",12.0,16,1.33,55,40,70.9,5,3,4,3,25.0,0,0,0,0,,2022
Wolfsburg,2,6,6,540,6.0,10,1.67,33,23,72.7,1,2,3,1,16.7,1,1,0,0,0.0,2022
Young Boys,2,6,6,540,6.0,12,2.00,32,20,62.5,1,2,3,0,0.0,0,0,0,0,,2022
Zenit,2,6,6,540,6.0,10,1.67,26,16,65.4,1,2,3,1,16.7,1,1,0,0,0.0,2022
Ajax,1,6,6,540,6.0,7,1.17,28,22,78.6,2,1,3,0,0.0,1,1,0,0,0.0,2021
Atalanta,2,8,8,720,8.0,12,1.50,38,26,73.7,3,2,3,3,37.5,2,2,0,0,0.0,2021
Atlético Madrid,1,8,8,720,8.0,11,1.37,24,14,62.5,2,3,3,2,25.0,2,2,0,0,0.0,2021
Barcelona,2,8,8,720,8.0,10,1.25,29,19,79.3,5,1,2,3,37.5,4,4,0,0,0.0,2021
Başakşehir,1,6,6,540,6.0,18,3.00,36,18,55.6,1,0,5,0,0.0,2,2,0,0,0.0,2021
Bayern Munich,2,10,10,900,10.0,10,1.00,48,38,79.2,8,1,1,3,30.0,0,0,0,0,,2021
Chelsea,2,13,13,"1,170",13.0,4,0.31,36,32,88.9,9,3,1,9,69.2,0,0,0,0,,2021
Club Brugge,2,6,6,540,6.0,10,1.67,28,19,67.9,2,2,2,1,16.7,1,1,0,0,0.0,2021
Dortmund,2,10,10,900,10.0,13,1.30,40,28,75.0,5,2,3,3,30.0,3,3,0,0,0.0,2021
Dynamo Kyiv,3,6,6,540,6.0,13,2.17,40,27,72.5,1,1,4,1,16.7,2,2,0,0,0.0,2021
Ferencváros,1,6,6,540,6.0,17,2.83,36,20,61.1,0,1,5,0,0.0,3,3,0,0,0.0,2021
Inter,1,6,6,540,6.0,9,1.50,23,15,69.6,1,3,2,2,33.3,2,2,0,0,0.0,2021
Juventus,2,8,8,750,8.3,8,0.96,35,27,82.9,6,0,2,3,37.5,2,2,0,0,0.0,2021
Krasnodar,2,6,6,540,6.0,11,1.83,43,32,81.4,1,2,3,1,16.7,4,3,0,1,0.0,2021
Lazio,2,8,8,720,8.0,13,1.62,35,23,68.6,2,4,2,0,0.0,2,2,0,0,0.0,2021
Liverpool,3,10,10,900,10.0,6,0.60,38,32,86.8,6,2,2,7,70.0,1,1,0,0,0.0,2021
Loko Moscow,1,6,6,540,6.0,10,1.67,35,25,71.4,0,3,3,1,16.7,0,0,0,0,,2021
M'Gladbach,1,8,8,720,8.0,13,1.62,35,22,62.9,2,2,4,2,25.0,0,0,0,0,,2021
Manchester City,2,13,13,"1,170",13.0,5,0.38,24,19,79.2,11,1,1,8,61.5,0,0,0,0,,2021
Manchester Utd,2,6,6,540,6.0,10,1.67,24,15,58.3,3,0,3,1,16.7,0,0,0,0,,2021
Marseille,1,6,6,540,6.0,13,2.17,25,13,56.0,1,0,5,0,0.0,2,2,0,0,0.0,2021
Midtjylland,2,6,6,540,6.0,13,2.17,36,23,66.7,0,2,4,0,0.0,1,1,0,0,0.0,2021
Olympiacos,1,6,6,540,6.0,10,1.67,34,24,79.4,1,0,5,1,16.7,3,3,0,0,0.0,2021
Paris S-G,1,12,12,"1,080",12.0,15,1.25,69,53,82.6,6,1,5,2,16.7,3,3,0,0,0.0,2021
Porto,2,10,10,930,10.3,9,0.87,39,30,79.5,6,1,3,6,60.0,2,1,0,1,0.0,2021
RB Leipzig,1,8,8,720,8.0,16,2.00,37,21,64.9,4,0,4,1,12.5,4,3,1,0,25.0,2021
RB Salzburg,1,6,6,540,6.0,17,2.83,32,16,53.1,1,1,4,0,0.0,2,2,0,0,0.0,2021
Real Madrid,1,12,12,"1,080",12.0,14,1.17,39,26,64.1,6,3,3,4,33.3,0,0,0,0,,2021
Rennes,2,6,6,540,6.0,11,1.83,29,18,69.0,0,1,5,0,0.0,2,2,0,0,0.0,2021
Sevilla,3,8,8,720,8.0,13,1.62,34,21,73.5,4,2,2,2,25.0,4,4,0,0,0.0,2021
Shakhtar,2,6,6,540,6.0,12,2.00,37,26,70.3,2,2,2,3,50.0,1,1,0,0,0.0,2021
Zenit,1,6,6,540,6.0,13,2.17,28,15,64.3,0,1,5,0,0.0,3,3,0,0,0.0,2021
Ajax,1,6,6,540,6.0,6,1.00,30,24,86.7,3,1,2,3,50.0,3,2,0,1,0.0,2020
Atalanta,2,9,9,810,9.0,18,2.00,46,28,63.0,4,1,4,2,22.2,2,1,0,1,0.0,2020
Atlético Madrid,1,9,9,840,9.3,9,0.96,30,22,70.0,5,1,3,4,44.4,0,0,0,0,,2020
Barcelona,2,9,9,810,9.0,14,1.56,48,33,72.9,5,3,1,2,22.2,2,1,1,0,50.0,2020
Bayern Munich,1,11,11,990,11.0,8,0.73,34,27,79.4,11,0,0,6,54.5,1,1,0,0,0.0,2020
Benfica,1,6,6,540,6.0,11,1.83,28,18,64.3,2,1,3,1,16.7,1,1,0,0,0.0,2020
Chelsea,2,8,8,720,8.0,16,2.00,33,18,54.5,3,2,3,1,12.5,2,1,1,0,50.0,2020
Club Brugge,1,6,6,540,6.0,12,2.00,26,14,53.8,0,3,3,1,16.7,0,0,0,0,,2020
Dinamo Zagreb,1,6,6,540,6.0,13,2.17,35,22,68.6,1,2,3,1,16.7,2,2,0,0,0.0,2020
Dortmund,1,8,8,720,8.0,11,1.37,37,25,70.3,4,1,3,2,25.0,1,0,1,0,100.0,2020
Galatasaray,1,6,6,540,6.0,14,2.33,47,33,74.5,0,2,4,1,16.7,2,2,0,0,0.0,2020
Genk,2,6,6,540,6.0,20,3.33,41,21,56.1,0,1,5,1,16.7,2,2,0,0,0.0,2020
Inter,1,6,6,540,6.0,9,1.50,30,21,73.3,2,1,3,1,16.7,1,1,0,0,0.0,2020
Juventus,2,8,8,720,8.0,6,0.75,23,17,78.3,6,1,1,3,37.5,1,1,0,0,0.0,2020
Leverkusen,1,6,6,540,6.0,9,1.50,28,19,67.9,2,0,4,1,16.7,0,0,0,0,,2020
Lille,2,6,6,540,6.0,14,2.33,32,19,59.4,0,1,5,0,0.0,1,1,0,0,0.0,2020
Liverpool,2,8,8,750,8.3,12,1.44,33,21,66.7,4,1,3,1,12.5,1,1,0,0,0.0,2020
Loko Moscow,2,6,6,540,6.0,11,1.83,42,32,76.2,1,0,5,0,0.0,2,1,1,0,50.0,2020
Lyon,1,10,10,900,10.0,14,1.40,38,24,71.1,4,2,4,2,20.0,3,3,0,0,0.0,2020
Manchester City,3,9,9,803,9.0,9,1.01,27,18,70.4,6,2,1,2,22.2,1,1,0,0,0.0,2020
Napoli,2,8,8,720,8.0,8,1.00,25,17,80.0,3,4,1,3,37.5,3,3,0,0,0.0,2020
Olympiacos,1,6,6,540,6.0,14,2.33,35,21,62.9,1,1,4,1,16.7,2,1,0,1,0.0,2020
Paris S-G,2,11,11,990,11.0,6,0.55,29,22,79.3,8,1,2,7,63.6,1,0,1,0,100.0,2020
RB Leipzig,2,10,10,900,10.0,12,1.20,46,34,76.1,6,2,2,3,30.0,1,1,0,0,0.0,2020
RB Salzburg,2,6,6,540,6.0,13,2.17,29,16,55.2,2,1,3,0,0.0,0,0,0,0,,2020
Real Madrid,2,8,8,720,8.0,12,1.50,34,22,67.6,3,2,3,2,25.0,1,1,0,0,0.0,2020
Red Star,1,6,6,540,6.0,20,3.33,53,33,66.0,1,0,5,0,0.0,2,2,0,0,0.0,2020
Shakhtar,1,6,6,540,6.0,13,2.17,33,19,63.6,1,3,2,0,0.0,2,1,1,0,50.0,2020
Slavia Prague,1,6,6,540,6.0,10,1.67,35,26,71.4,0,2,4,1,16.7,0,0,0,0,,2020
Tottenham,2,8,8,720,8.0,18,2.25,47,29,66.0,3,1,4,2,25.0,2,2,0,0,0.0,2020
Valencia,2,8,8,720,8.0,15,1.87,39,24,66.7,3,2,3,2,25.0,3,2,0,1,0.0,2020
Zenit,2,6,6,540,6.0,9,1.50,38,30,81.6,2,1,3,1,16.7,2,2,0,0,0.0,2020
AEK Athens,1,6,6,540,6.0,13,2.17,40,27,72.5,0,0,6,0,0.0,2,2,0,0,0.0,2019
Ajax,1,12,12,"1,080",12.0,13,1.08,53,40,77.4,6,4,2,4,33.3,1,1,0,0,0.0,2019
Atlético Madrid,1,8,8,720,8.0,9,1.13,19,10,57.9,5,1,2,4,50.0,2,1,0,1,0.0,2019
Barcelona,2,12,12,"1,080",12.0,10,0.83,42,32,76.2,8,3,1,6,50.0,0,0,0,0,,2019
Bayern Munich,1,8,8,720,8.0,8,1.00,30,22,76.7,4,3,1,4,50.0,1,1,0,0,0.0,2019
Benfica,1,6,6,540,6.0,11,1.83,35,24,68.6,2,1,3,1,16.7,0,0,0,0,,2019
Club Brugge,2,6,6,540,6.0,5,0.83,22,17,77.3,1,3,2,3,50.0,0,0,0,0,,2019
CSKA Moscow,3,6,6,539,6.0,9,1.50,39,29,76.9,2,1,3,2,33.3,1,0,1,0,100.0,2019
Dortmund,2,8,8,720,8.0,6,0.75,22,16,72.7,4,1,3,5,62.5,0,0,0,0,,2019
Galatasaray,1,6,6,540,6.0,8,1.33,24,17,70.8,1,1,4,2,33.3,1,1,0,0,0.0,2019
Hoffenheim,1,6,6,540,6.0,14,2.33,43,29,67.4,0,3,3,0,0.0,0,0,0,0,,2019
Inter,1,6,6,540,6.0,7,1.17,39,32,82.1,2,2,2,0,0.0,0,0,0,0,,2019
Juventus,1,10,10,900,10.0,9,0.90,31,22,74.2,5,1,4,5,50.0,2,1,1,0,50.0,2019
Liverpool,1,13,13,"1,170",13.0,12,0.92,56,45,78.6,8,1,4,6,46.2,0,0,0,0,,2019
Loko Moscow,1,6,6,540,6.0,12,2.00,33,21,69.7,1,0,5,1,16.7,2,2,0,0,0.0,2019
Lyon,2,8,8,720,8.0,16,2.00,52,36,71.2,1,6,1,1,12.5,1,1,0,0,0.0,2019
Manchester City,1,10,10,900,10.0,12,1.20,33,21,72.7,7,1,2,3,30.0,3,3,0,0,0.0,2019
Manchester Utd,2,10,10,900,10.0,11,1.10,34,25,67.6,4,1,5,3,30.0,0,0,0,0,,2019
Monaco,3,6,6,540,6.0,14,2.33,28,14,53.6,0,1,5,0,0.0,2,1,0,1,0.0,2019
Napoli,1,6,6,540,6.0,5,0.83,20,15,75.0,2,3,1,2,33.3,0,0,0,0,,2019
Paris S-G,2,8,8,720,8.0,12,1.50,28,16,71.4,4,2,2,1,12.5,4,4,0,0,0.0,2019
Porto,1,10,10,930,10.3,15,1.45,37,21,67.6,6,1,3,1,10.0,5,3,1,1,25.0,2019
PSV Eindhoven,1,6,6,540,6.0,13,2.17,50,37,74.0,0,2,4,0,0.0,0,0,0,0,,2019
Real Madrid,2,8,8,720,8.0,10,1.25,37,27,73.0,5,0,3,3,37.5,0,0,0,0,,2019
Red Star,1,6,6,540,6.0,17,2.83,56,38,71.4,1,1,4,2,33.3,2,1,1,0,50.0,2019
Roma,2,8,8,750,8.3,12,1.44,44,32,75.0,4,0,4,2,25.0,1,1,0,0,0.0,2019
Schalke 04,2,8,8,720,8.0,14,1.75,32,17,62.5,3,2,3,4,50.0,3,2,1,0,33.3,2019
Shakhtar,1,6,6,540,6.0,16,2.67,36,20,61.1,1,3,2,0,0.0,2,2,0,0,0.0,2019
Tottenham,3,13,13,"1,167",13.0,19,1.47,55,35,67.3,6,2,5,4,30.8,2,1,1,0,50.0,2019
Valencia,2,6,6,540,6.0,6,1.00,29,23,89.7,2,2,2,1,16.7,3,3,0,0,0.0,2019
Viktoria Plzeň,2,6,6,540,6.0,16,2.67,43,27,67.4,2,1,3,0,0.0,2,2,0,0,0.0,2019
Young Boys,2,6,6,540,6.0,12,2.00,30,18,63.3,1,1,4,0,0.0,1,1,0,0,0.0,2019
Anderlecht,2,6,6,540,6.0,17,2.83,41,23,61.0,1,0,5,1,16.7,1,1,0,0,0.0,2018
APOEL FC,3,6,6,540,6.0,17,2.83,40,23,60.0,0,2,4,0,0.0,1,1,0,0,0.0,2018
Atlético Madrid,1,6,6,540,6.0,4,0.67,17,14,76.5,1,4,1,3,50.0,0,0,0,0,,2018
Barcelona,2,10,10,900,10.0,6,0.60,31,25,83.9,6,3,1,6,60.0,1,1,0,0,0.0,2018
Basel,1,8,8,720,8.0,10,1.25,27,17,63.0,5,0,3,4,50.0,0,0,0,0,,2018
Bayern Munich,2,12,12,"1,080",12.0,12,1.00,43,31,72.1,8,2,2,4,33.3,0,0,0,0,,2018
Benfica,3,6,6,540,6.0,14,2.33,31,18,64.5,0,0,6,0,0.0,4,3,1,0,25.0,2018
Beşiktaş,1,8,8,540,8.0,13,2.17,48,37,72.9,4,2,2,1,12.5,0,0,0,0,,2018
Celtic,1,6,6,540,6.0,18,3.00,39,23,56.4,1,0,5,1,16.7,1,1,0,0,0.0,2018
Chelsea,1,8,8,720,8.0,12,1.50,32,20,65.6,3,3,2,2,25.0,1,1,0,0,0.0,2018
CSKA Moscow,1,6,6,540,6.0,10,1.67,37,27,75.7,3,0,3,1,16.7,1,1,0,0,0.0,2018
Dortmund,1,6,6,540,6.0,13,2.17,36,23,63.9,0,2,4,0,0.0,0,0,0,0,,2018
Feyenoord,2,6,6,540,6.0,14,2.33,28,14,50.0,1,0,5,0,0.0,0,0,0,0,,2018
Juventus,2,10,10,900,10.0,12,1.20,37,26,70.3,5,3,2,3,30.0,1,1,0,0,0.0,2018
Liverpool,1,13,13,"1,170",13.0,16,1.23,42,27,69.0,7,4,2,6,46.2,3,3,0,0,0.0,2018
Manchester City,2,10,10,900,10.0,12,1.20,36,23,72.2,6,0,4,4,40.0,3,2,1,0,33.3,2018
Manchester Utd,2,8,8,720,8.0,5,0.62,36,31,86.1,5,1,2,4,50.0,0,0,0,0,,2018
Monaco,2,6,6,540,6.0,16,2.67,27,12,48.1,0,2,4,0,0.0,2,2,0,0,0.0,2018
Napoli,1,6,6,540,6.0,11,1.83,29,17,62.1,2,0,4,1,16.7,1,0,1,0,100.0,2018
NK Maribor,1,6,6,540,6.0,16,2.67,47,30,68.1,0,3,3,0,0.0,2,1,1,0,50.0,2018
Olympiacos,2,6,6,540,6.0,13,2.17,39,27,66.7,0,1,5,1,16.7,0,0,0,0,,2018
Paris S-G,1,8,8,720,8.0,9,1.13,37,28,78.4,5,0,3,4,50.0,1,1,0,0,0.0,2018
Porto,2,8,8,720,8.0,15,1.87,35,20,60.0,3,2,3,2,25.0,1,1,0,0,0.0,2018
Qarabağ FK,1,6,6,540,6.0,14,2.33,47,34,74.5,0,2,4,1,16.7,2,2,0,0,0.0,2018
RB Leipzig,1,6,6,540,6.0,11,1.83,27,16,63.0,2,1,3,0,0.0,1,1,0,0,0.0,2018
Real Madrid,2,13,13,"1,170",13.0,16,1.23,53,38,69.8,9,2,2,3,23.1,0,0,0,0,,2018
Roma,1,12,12,"1,080",12.0,19,1.58,63,46,69.8,6,2,4,5,41.7,0,0,0,0,,2018
Sevilla,2,10,10,900,10.0,15,1.50,41,27,63.4,3,5,2,3,30.0,1,0,0,1,,2018
Shakhtar,1,8,8,720,8.0,11,1.37,44,32,79.5,5,0,3,0,0.0,3,2,1,0,33.3,2018
Spartak Moscow,2,6,6,540,6.0,13,2.17,36,23,66.7,1,3,2,0,0.0,1,1,0,0,0.0,2018
Sporting CP,1,6,6,540,6.0,9,1.50,28,21,67.9,2,1,3,0,0.0,0,0,0,0,,2018
Tottenham,2,8,8,720,8.0,8,1.00,33,25,81.8,5,2,1,2,25.0,3,2,0,1,0.0,2018
